Paul Auster	Haruki Murakami	Milan Kundera	Umberto Eco	Gabriel Garcia Marquez	Italo Calvino	T. Coraghessan Boyle	John Irving	Don Delillo	Ian Mcewan	Vladimir Nabokov	Philip Roth	Jose Saramago	James Joyce	Franz Kafka	Hermann Hesse	Fyodor Dostoyevsky	Albert Camus	Jorge Luis Borges	Charles Bukowski	Thomas Pynchon	Salman Rushdie	Jonathan Franzen	Siri Hustvedt	Raymond Carver	Thomas Mann	David Foster Wallace	Douglas Coupland	David Mitchell	Aldous Huxley																			
Kazuo Ishiguro	Ian Mcewan	Graham Swift	Julian Barnes	Michael Cunningham	Zadie Smith	J.M. Coetzee	Jeffrey Eugenides	Haruki Murakami	Philip Roth	Margaret Atwood	Jonathan Franzen	Graham Greene	Donna Tartt	Toby Litt	Virginia Woolf	Martin Amis	Evelyn Waugh	A.S. Byatt	John Banville	Michael Chabon	Jeanette Winterson	Jonathan Coe	Wilkie Collins	John Updike	Ishiguro Kazuo	Vikram Seth	Harper Lee	Penelope Fitzgerald	William Boyd																			
Fyodor Dostoyevsky	Franz Kafka	Leo tolstoy	Albert Camus	Hermann Hesse	Gabriel Garcia Marquez	Vladimir Nabokov	Milan Kundera	James Joyce	Jean-Paul Sartre	George Orwell	Umberto Eco	Nikolai Gogol	Lev Tolstoy	Charles Bukowski	Friedrich Nietzsche	Anton Chekhov	Aldous Huxley	Stefan Zweig	Ernest Hemingway	Kurt Vonnegut	Mikhail Bulgakov	John Steinbeck	Haruki Murakami	Paul Auster	Lev Tolstoi	Victor Hugo	Ivan Goncharov	William Faulkner	Oscar Wilde																			
Tom Robbins	Christopher Moore	Kurt Vonnegut	John Irving	Jack Kerouac	Charles Bukowski	Aldous Huxley	Chuck Palahniuk	Henry Miller	David Sedaris	Matt Ruff	George Orwell	Hunter S. Thompson	Oscar Wilde	T. Coraghessan Boyle	Haruki Murakami	Hermann Hesse	Franz Kafka	Albert Camus	Dave Eggers	Milan Kundera	Ken Kesey	Gabriel Garcia Marquez	Carl Hiaasen	Douglas Coupland	Margaret Atwood	Barbara Kingsolver	William S. Burroughs	Tom Wolfe	Robert Anton Wilson																			
T. Coraghessan Boyle	John Irving	Matt Ruff	Max Frisch	Friedrich Dürrenmatt	Djian	Thomas Mann	Paul Auster	walter Moers	Max Goldt	Kurt Tucholsky	Martin Suter	Tom Robbins	Nick Hornby	Haruki Murakami	Kotzwinkle	Jonathan Franzen	Stephen Fry	Philip Roth	Christopher Moore	Heinrich Heine	Heinrich Böll	Tom Wolfe	Henning Mankell	Philippe Djian	Ian Mcewan	William Kotzwinkle	Georg Büchner	Sven Regener	James Ellroy																			
	Hanya Yanagihara	Tana French	Jeffrey Eugenides	Celeste Ng	Kate Atkinson	Elena Ferrante	Sally Rooney	Kazuo Ishiguro	Zadie Smith	Margaret Atwood	Ian Mcewan	Jennifer Egan	Iris Murdoch	Sarah Waters	Haruki Murakami	Andre Aciman	Amor Towles	Louis De Bernieres	Caleb Carr	Jonathan Safran Foer	Bret Easton Ellis	John Irving	Yann Martel	Emily St. John Mandel	Fredrik Backman	Harper lee	Angela Carter	Robert Galbraith	Jeanette Winterson																			
	Kazuo Ishiguro	Zadie Smith	Philip Roth	Jonathan Franzen	Julian Barnes	Jeffrey Eugenides	William Boyd	David Mitchell	Margaret Atwood	Martin Amis	Paul Auster	Jonathan Safran Foer	Peter Carey	Sebastian Faulks	Donna Tartt	Graham Greene	Cormac McCarthy	John Banville	John Updike	Michael Chabon	Saul Bellow	John Irving	Jane Austen	Martin Suter	Michael Cunningham	Iain Banks	Haruki Murakami	Anne Tyler	Kate Atkinson																			
	Charles Bukowski	Hunter S. Thompson	Oscar Wilde	Kurt Vonnegut	Aldous Huxley	William S. Burroughs	Henry Miller	Jerome David Salinger	Ernest Hemingway	Hermann Hesse	George Orwell	Franz Kafka	Albert Camus	Chuck Palahniuk	Tom Robbins	John Steinbeck	Allen Ginsberg	Irvine Welsh	Tom Wolfe	Douglas Coupland	Bret Easton Ellis	Nick Hornby	F. Scott Fitzgerald	Vladimir Nabokov	Ken Kesey	Gabriel Garcia Marquez	James Joyce	Jack London	Milan Kundera																			
	Mitch Albom	Yann Martel	Mark Haddon	Audrey Niffenegger	Gregory David Roberts	Chimamanda Ngozi Adichie	Jonathan Safran Foer	Azar Nafisi	Anthony Doerr	Sara Gruen	Celeste Ng	David Gregory Roberts	Rohinton Mistry	Fredrik Backman	Abraham Verghese	Elizabeth Gilbert	Khalid Hossieni	Amy Tan	Roald Dahl	Arthur Golden	Chris Cleave	Jeannette Walls	Barbara Kingsolver	Gail Honeyman	Tatiana de Rosnay	Min Jin Lee	Zadie Smith	Ahmet Ümit	Mohsin Hamid																			
Aldous Huxley	George Orwell	Franz Kafka	Albert Camus	Hermann Hesse	Kurt Vonnegut	Charles Bukowski	Jack Kerouac	Vladimir Nabokov	Gabriel Garcia Marquez	Milan Kundera	Oscar Wilde	James Joyce	Umberto Eco	Fyodor Dostoyevsky	Tom Robbins	Henry Miller	Chuck Palahniuk	Ray Bradbury	Hunter S. Thompson	Ernest Hemingway	Bret Easton Ellis	John Steinbeck	Jerome David Salinger	Paul Auster	Anthony Burgess	Ayn Rand	Douglas Coupland	William S. Burroughs	Haruki Murakami																			
Albert Camus	Franz Kafka	Hermann Hesse	Aldous Huxley	George Orwell	Milan Kundera	Fyodor Dostoyevsky	Gabriel Garcia Marquez	Charles Bukowski	Vladimir Nabokov	Kurt Vonnegut	James Joyce	Jean-Paul Sartre	Jack Kerouac	Oscar Wilde	Umberto Eco	Friedrich Nietzsche	Henry Miller	Ernest Hemingway	Paul Auster	Haruki Murakami	Tom Robbins	Jerome David Salinger	Chuck Palahniuk	Italo Calvino	Samuel Beckett	William Faulkner	Stefan Zweig	Jorge Luis Borges	John Steinbeck																			
Gabriel Garcia Marquez	Milan Kundera	Franz Kafka	Vladimir Nabokov	Umberto Eco	Albert Camus	Hermann Hesse	James Joyce	Aldous Huxley	George Orwell	Fyodor Dostoyevsky	Charles Bukowski	Kurt Vonnegut	Haruki Murakami	Paul Auster	Jose Saramago	Isabel Allende	Jorge Luis Borges	Salman Rushdie	Italo Calvino	Oscar Wilde	Ernest Hemingway	Jack Kerouac	Mario Vargas Llosa	Julio Cortazar	Tom Robbins	John Steinbeck	Paulo Coelho	Margaret Atwood	John Irving																			
John Steinbeck	Ernest Hemingway	Nick Hornby	Chuck Palahniuk	Bret Easton Ellis	Irvine Welsh	Jerome David Salinger	F. Scott Fitzgerald	Kurt Vonnegut	Douglas Coupland	Tom Wolfe	William Faulkner	Jack Kerouac	Cormac McCarthy	Alex Garland	Charles Bukowski	John Irving	Harper lee	George Orwell	Mark Twain	Fyodor Dostoyevsky	Charles Dickens	Jack London	Haruki Murakami	Oscar Wilde	Ayn Rand	Stephen King	David Sedaris	Gabriel Garcia Marquez	Ray Bradbury																			
James Joyce	Vladimir Nabokov	Milan Kundera	Gabriel Garcia Marquez	Franz Kafka	Umberto Eco	Albert Camus	Hermann Hesse	Aldous Huxley	Fyodor Dostoyevsky	Samuel Beckett	Thomas Pynchon	Charles Bukowski	George Orwell	Marcel Proust	Kurt Vonnegut	Paul Auster	William Faulkner	David Foster Wallace	Don Delillo	Italo Calvino	Ernest Hemingway	Oscar Wilde	Virginia Woolf	Jorge Luis Borges	Jack Kerouac	Kierkegaard	William Shakespeare	T. S. Eliot	Salman Rushdie																			
Cormac McCarthy	William Faulkner	Flannery O'Connor	Ernest Hemingway	Raymond Carver	Herman Melville	John Steinbeck	Mark Twain	Joseph Conrad	Thomas Pynchon	David Foster Wallace	Don Delillo	Denis Johnson	Philip Roth	Kurt Vonnegut	F. Scott Fitzgerald	Ian Mcewan	Haruki Murakami	Chuck Palahniuk	Hunter S. Thompson	Larry Mcmurtry	Jerome David Salinger	Bret Easton Ellis	Jon Krakauer	Tobias Wolff	William Gay	Stephen King	David Mitchell	Michael Chabon	Jonathan Franzen																			
	Victor Hugo	Alexandre Dumas	Joseph Heller	Jonathan Swift	Ernest Hemingway	George Orwell	Jerome David Salinger	Kurt Vonnegut	Bram Stoker	Chuck Palahniuk	Paulo Coelho	Robert A. Heinlein	John Steinbeck	Ray Bradbury	F. Scott Fitzgerald	Ken Kesey	Jeffrey Archer	Aldous Huxley	Orson Scott Card	Jack London	Harper lee	Tom Clancy	Gregory David Roberts	Sylvia Plath	Voltaire	Isaac Asimov	David Sedaris	John Grisham	Henry David Thoreau																			
	Douglas Adams	Terry Pratchett	Stephen King	Joanne K. Rowling	Isaac Asimov	Frank Herbert	Neil Gaiman	Orson Scott Card	George R. R. Martin	William Gibson	C. S. Lewis	Neal Stephenson	Robert Jordan	David Eddings	Anne Rice	Dan Brown	Patrick Rothfuss	George Orwell	Jane Austen	Brandon Sanderson	Christopher Paolini	Kurt Vonnegut	Philip Pullman	Howard Phillips Lovecraft	Tom Clancy	Michael Crichton	J.K. Rowlling	Edgar Allan Poe	Terry Goodkind																			
	Matt Ruff	Jasper Fforde	Tom Robbins	Carl Hiaasen	Tim Dorsey	walter Moers	Tom Holt	Chuck Palahniuk	David Sedaris	Dave Barry	Neil Gaiman	Terry Pratchett	A. Lee Martinez	Douglas Adams	John Irving	Kurt Vonnegut	T. Coraghessan Boyle	Bill Fitzhugh	Elmore Leonard	David Wong	Christopher Buckley	Charlaine Harris	Jonathan Carroll	Stephen King	Dean Koontz	Richard Kadrey	John Kennedy Toole	Margaret Atwood	Jonathan Lethem																			
	Milan Kundera	Gabriel Garcia Marquez	James Joyce	Vladimir Nabokov	Franz Kafka	Hermann Hesse	Paul Auster	Albert Camus	Fyodor Dostoyevsky	Italo Calvino	Aldous Huxley	Jorge Luis Borges	George Orwell	Charles Bukowski	Salman Rushdie	Jose Saramago	Haruki Murakami	Kurt Vonnegut	Thomas Pynchon	Thomas Mann	Neal Stephenson	John Irving	Orhan Pamuk	Don Delillo	John Fowles	Douglas Adams	Paulo Coelho	Max Frisch	J.R.R. Tolkien																			
