Marvin Cohen
Lev Tolstoi
Joao Guimaraes Rosa
Max Frei
Yalom
Irwin Yalom
Irvin D. Yalom
Irving Yalom
Ai
Natalie Diaz
Natalie diaz
Kent Nerburn
David Simon
Nien Cheng
Vladislav Krapivin
Agnes Martin
Nazım Hikmet
Barry Macsweeney
Karl Jung
Cemal Süreya
Arthur Rimbaud
Rimbaud
Daniel Lewis
Kemal
Yaşar Kemal
Zbigniew Herbert
Umberto Eco
Trygve Gulbranssen
L Frank Baum
Marosa Di Giorgio
Blanca Varela
Dune
Erich Maria Remarque
Uris
Claudia Rankine
Ahmet Hamdi Tanpınar
Ahmet Hamdi Tanpinar
Zahn
Carl Hiaasen
Özdemir Asaf
Carl Hiaason
Neil Astley
İhsan Oktay Anar
Wang Xiaobo
John Kolchak
Woodhouse
Fernando Aramburu
Takashi Murakami
Melissa Fleming
Christopher Alexander
Paul Celan
Ivo Andrić
Ivo Andric
Richard Adams
James Duncan
Jean-Philippe Jaworski
Julio Cortázar
Julio Cortazar
Marc-Uwe Kling
Vasily Grossman
Vladimir Lossky
Deneys Reitz
Herbert Wells
Peter Wessel Zapffe
Wilfred Bion
Hoimar Von Dittfurth
Doug Wood
Bill Aitken
Patti Smith
Charlotte Gann
W G Sebald
Carolyn Cassidy
Henry Cornelius Agrippa
Andrej Platonov
Kastaneda
Lilly Brett
Heinrich Laube
W S Merwin
Christopher Shea
Ray Carver
Raymond Carver
Hiro Arikawa
Sarah Kay
Jansson Tove
Tove Jansson
Victor Villansenor
Victor Villasenor
Ford
Eliot Weinberger
Anna Akhmatova
Marcus Aurelius
Vladimir Bartol
Carolyn Keene
Eduardo Galeano
Sofía Segovia
Dovlatov
Sergey Dovlatov
Eisenstein
T. S. Eliot
Marcel Proust
Flannery Oconner
Etty hillesum
Hunter S. Thompson
William Gibson
Konstantin Paustovsky
Paul Durcan
Billy Graham
Donald Goines
Wallace Stegner
Luo Guanzhong
Robert Frost
Jen Wang
Janosch
Wilson
Victor Klemperer
Kernighan
Saunders
Tart
Fernando Pessoa
Pessoa
Hans-Eckhardt Wenzel
Conor Grennan
Bill Moyers
Marina Tsvetaeva
Guy Davenport
Alain Damasio
Martin Myers
Engin geçtan
Alice Notley
E E Cummings
Bourdain
Fernando del Paso
Italo Calvino
Giuseppe Ungaretti
Mascha Kaléko
Ryukishi07
Simon West-Bulford
Regina Scheer
Marcel Moring
Edward Arlington Robinson
Andrey Platonov
Geoff Hattersley
Edward De Vere
Emily Dickinson
Louise Erdrich
Kyle Mills
Varlam Shalamov
Martin Gardner
Chris Riddell
Drunvalo Melchizedek
Thomas Hardy
Hardy
Inger Christensen
Dan John
Robert Moss
Norman Fischer
Nam Cao
Pierre La Mure
Erich Fried
Dimitré Dinev
Hilde Domin
Tom Pickard
Arthur Camus
Robert Mason
Esther Hicks
Helen Fields
Fielding
Alastair Humphreys
Susan Howe
Giacomo Leopardi
Tim Lehaye
Simon Reeve
Robert Ruark
Barbara Marciniak
Jung Chang
Tiziano Terzani
Qian Zhongshu
Ted Berrigan
Richard Matherson
Plato
Gibran Khalil Gibran
Josh Lanyon
Jose Watanabe
Stephen Fry
Guy De La Valdene
William Paul Young
Jane M. Auel
David Orwell
Howard Marks
Anthony De Mello
Daniil Kharms
Daniil Charms
Kharms
Murray Rothbard
Frank Perretti
Baudelaire
Charles Baudelaire
Friedrich Nietzsche
Kenneth Patchen
Dulce Chacón
Alejandra Pizarnik
Amy Shields
Dan Beachy-Quick
Bill Knott
Shawna Lemay
Ottlik Géza
Petru Dumitriu
Carrol
Yoshiyuki Sadamoto
Paul anderson
Joseph Brodsky
Frans G. Bengtsson
Usher
Barry Hughart
Joseph Mitchell
Steve Erickson
Patrick Suskind
Patrick Süskind
Süskind
Karl Ove Knausgard
Karl Ove Knausgård
Seneca
Ernest K Gann
Antonis Samarakis
Julio Ramón Ribeyro
Wallace Stevens
Greg Rucka
