Franz Kafka	Albert Camus	Hermann Hesse	George Orwell	Aldous Huxley	Fyodor Dostoyevsky	Gabriel Garcia Marquez	Milan Kundera	Vladimir Nabokov	Charles Bukowski	Kurt Vonnegut	James Joyce	Oscar Wilde	Umberto Eco	Jack Kerouac	Haruki Murakami	Paul Auster	Henry Miller	Jean-Paul Sartre	Tom Robbins	Samuel Beckett	Thomas Mann	Jorge Luis Borges	Ernest Hemingway	Thomas Pynchon	Chuck Palahniuk	Friedrich Nietzsche	Italo Calvino	Stefan Zweig	David Foster Wallace																			
Hermann Hesse	Franz Kafka	Albert Camus	Aldous Huxley	Milan Kundera	George Orwell	Gabriel Garcia Marquez	Fyodor Dostoyevsky	Charles Bukowski	Vladimir Nabokov	Oscar Wilde	James Joyce	Kurt Vonnegut	Jack Kerouac	Umberto Eco	Jean-Paul Sartre	Haruki Murakami	Thomas Mann	Paulo Coelho	Paul Auster	Henry Miller	Max Frisch	Tom Robbins	Friedrich Nietzsche	Ernest Hemingway	Stefan Zweig	Goethe	John Steinbeck	Nikolai Gogol	Jerome David Salinger																			
Douglas Adams	Terry Pratchett	J.R.R. Tolkien	Isaac Asimov	Neil Gaiman	Frank Herbert	Orson Scott Card	Stephen King	William Gibson	Neal Stephenson	Kurt Vonnegut	Joanne K. Rowling	David Eddings	George Orwell	Chuck Palahniuk	Robert Jordan	George R. R. Martin	Christopher Moore	Ray Bradbury	Tom Robbins	Anne Rice	Bill Bryson	Jasper Fforde	Dan Brown	Joseph Heller	Nick Hornby	Michael Crichton	Hunter S. Thompson	Philip Pullman	John Irving																			
Haruki Murakami	Paul Auster	David Mitchell	Gabriel Garcia Marquez	Kurt Vonnegut	Banana Yoshimoto	John Irving	Margaret Atwood	Milan Kundera	David Foster Wallace	Kazuo Ishiguro	Hermann Hesse	Franz Kafka	Italo Calvino	Thomas Pynchon	Fyodor Dostoyevsky	Chuck Palahniuk	Jorge Luis Borges	Cormac McCarthy	Jose Saramago	Tom Robbins	Neil Gaiman	Charles Bukowski	Ernest Hemingway	Vladimir Nabokov	T. Coraghessan Boyle	Salman Rushdie	Jerome David Salinger	Albert Camus	George Orwell																			
John Irving	T. Coraghessan Boyle	Tom Robbins	Nick Hornby	Haruki Murakami	Margaret Atwood	Paul Auster	John Steinbeck	Kurt Vonnegut	Pat Conroy	Barbara Kingsolver	Wally Lamb	Anne Tyler	Richard Russo	Jeffrey Eugenides	Douglas Coupland	Jonathan Franzen	Ian Mcewan	Michael Chabon	Matt Ruff	David Sedaris	Joyce Carol Oates	Christopher Moore	John Updike	Isabel Allende	Jonathan Safran Foer	Charles Dickens	Donna Tartt	Irvine Welsh	Ann Patchett																			
David Foster Wallace	Thomas Pynchon	Don Delillo	George Saunders	Jonathan Franzen	William Gaddis	Haruki Murakami	Dave Eggers	Cormac McCarthy	James Joyce	Jorge Luis Borges	Vladimir Nabokov	Roberto Bolano	Salman Rushdie	Kurt Vonnegut	David Mitchell	Mark Z. Danielewski	Jonathan Lethem	Jonathan Safran Foer	Michael Chabon	David Sedaris	Zadie Smith	William Faulkner	Neal Stephenson	Paul Auster	Martin Amis	Jeffrey Eugenides	Donald Barthelme	Italo Calvino	John Kennedy Toole																			
	Irvine Welsh	Chuck Palahniuk	Douglas Coupland	Alex Garland	Nick Hornby	Tom Wolfe	John Steinbeck	Charles Bukowski	Hunter S. Thompson	Jack Kerouac	Jerome David Salinger	Ernest Hemingway	Oscar Wilde	Michel Houellebecq	Kurt Vonnegut	William S. Burroughs	Aldous Huxley	F. Scott Fitzgerald	Cormac McCarthy	Donna Tartt	David Sedaris	John Irving	Jay Mcinerney	Henry Miller	Chuck Klosterman	Haruki Murakami	Jeffrey Eugenides	George Orwell	Tom Robbins																			
	Frank Herbert	Douglas Adams	J.R.R. Tolkien	Orson Scott Card	Terry Pratchett	William Gibson	Neil Gaiman	Stephen King	Neal Stephenson	Philip Kindred Dick	Sir Arthur Charles Clarke	Robert A. Heinlein	David Eddings	Ray Bradbury	Joanne K. Rowling	Larry Niven	Robert Jordan	George R. R. Martin	Kurt Vonnegut	Dan Simmons	George Orwell	Ursula K. LeGuin	Michael Crichton	Howard Phillips Lovecraft	Iain Banks	Brandon Sanderson	Tom Clancy	Ayn Rand	Dan Brown																			
	Douglas Adams	Neil Gaiman	J.R.R. Tolkien	Isaac Asimov	Stephen King	Frank Herbert	William Gibson	Orson Scott Card	Neal Stephenson	David Eddings	Joanne K. Rowling	George R. R. Martin	Robert Jordan	Jasper Fforde	Jim Butcher	Brandon Sanderson	Iain Banks	Christopher Moore	Patrick Rothfuss	Philip Pullman	Kurt Vonnegut	Robin Hobb	Robert Rankin	Tad Williams	Jane Austen	Diana Wynne Jones	Terry Goodkind	Anne Rice	Tom Holt																			
	David Sedaris	Augusten Burroughs	Jonathan Safran Foer	Jonathan Franzen	Michael Chabon	Sarah Vowell	Zadie Smith	David Foster Wallace	John Kennedy Toole	Nicole Krauss	Jeffrey Eugenides	Nick Hornby	Tom Robbins	Jerome David Salinger	Jhumpa Lahiri	James Frey	Miranda July	David Rakoff	Chuck Palahniuk	Don Delillo	Kurt Vonnegut	Yann Martel	Bill Bryson	Wally Lamb	Jonathan Lethem	Douglas Coupland	Haruki Murakami	John Irving	George Saunders																			
Gottfried Benn	Rainer Maria Rilke	Jurek Becker	Ulrich Plenzdorf	Inge Von Wangenheim	Oswald Spengler	Jürgen Becker	Christoph Ransmayer	Allan Sillitoe	Ken Wilbur	Banana Yoshimoto	Dieter Forte	Else Lasker-Schüler	Arno Geiger	Gary Krist	Robert Musil	Dai Sijie	Guido Gozzano	Egon Bondy	Erlan Loe	Hans Bemann	Wolfgang Borchert	Manuel Puig	Anthony De Mello	Dietmar Dath	Stefan Aust	Maarten Hart	Bachmann	Zoe Jenny	Peter Sloterdijk																			
Ulrich Plenzdorf	Jurek Becker	Inge Von Wangenheim	Allan Sillitoe	Gottfried Benn	Christoph Ransmayer	Daniela Dahn	Antje R. Strubel	Jürgen Becker	Siegfried Wenzel	Dieter Forte	Hans-Eckhardt Wenzel	Rainer Maria Rilke	Arno Geiger	Oswald Spengler	Hans Bemann	Dai Sijie	Sergio Bambaren	Jeremy Strong	Gary Krist	Peter Härtling	Suetonius	Brigitte Reimann	Daniel Kulla	Adolf Hitler	Robert Schneider	Banana Yoshimoto	Thomas Brussig	Christoph Hein	Frank Reinhard																			
