Taichi Yamada	3.57	3456	321
Darja Donzowa	3.54	39	4
Jean Baudrillard	3.94	26939	1474
Naguib Mahfouz	3.94	221208	26378
Erico Verissimo	4.22	14617	506
Bill James	3.91	15513	1409
William Godwin	3.52	5012	313
H. L. Mencken	3.98	39653	1845
Edward Whittemore	4.13	844	96
Michael David Lukas	3.6	5380	1162
Lori Lansens	3.86	45812	5562
Dan John	4.28	3787	231
Thornton Wilder	3.75	85318	4628
E M Forster	3.0	3	0
Dovlatov	4.3	24380	983
James Clavell	4.3	300335	8114
Chris Riddell	4.08	166585	17565
Lars Gustafsson	3.7	2506	279
Botho Strauß	3.16	584	60
Bazon Brock	3.89	9	2
Wolf Haas	3.91	7938	405
Josef Stalin	2.89	9	2
Robert Musil	4.01	20215	1393
Robert Majzels	3.94	157	23
Koji Suzuki	3.74	30914	2538
Kyril Bonfiglioli	3.5	6033	772
Rudolf Lorenzen	3.9	40	2
Benoite Groult	3.72	3200	242
Grass	3.83	58662	3336
Rudolf Steiner	4.21	9395	633
Andre Dubus	3.83	149080	7670
Jeff Strand	3.88	47045	6602
Steven Culbert	3.55	11	0
Garry Wills	3.93	18439	1711
Francis Ford Coppola	4.22	9673	628
Santiago Roncagliolo	3.62	6322	764
Seth Kantner	4.09	2045	348
Graham Masterton	3.79	64421	5692
Michael Roes	3.57	56	5
Carlos Castaneda	4.01	94507	2588
Michel Tournier	3.73	9279	530
Alvaro Mutis	4.08	4054	387
John C. Gardner	4.12	33	1
Irmtraud Morgner	3.51	133	21
Joseph Murphy	4.12	54914	3464
Haffner	4.22	5609	495
Doyle	4.19	1959007	64993
Leonardo Sciascia	3.87	23341	1735
Alan Bissett	3.75	981	90
Romain Gary	4.03	45469	4018
Johanne L. Holm	3.5	752	68
Pio Baroja	3.71	10534	496
Margueritte Duras	3.72	73463	5617
Melissa Lucashenko	4.05	5094	647
Peter Stamm	3.41	9033	1040
Tristan Tzara	4.21	1687	105
Heinz Erhardt	4.22	207	19
David Ives	4.09	7057	429
Vladimir Lenin	4.02	19292	1182
Paul Ricœur	4.02	3938	269
Isabelle Beaumont	3.72	795	100
Inês Pedrosa	3.46	2601	278
Alberto Villoldo	4.24	4370	322
Kevin Powers	3.74	24853	3595
Vladimir Lossky	4.33	1172	71
Daria Bignardi	3.48	2810	266
Thomas Warton	4.1	31	0
Helprin	3.75	52652	7661
Salvatore Quasimodo	4.09	3008	152
Rodrigo Hasbun	3.63	1816	273
Theodor Herzl	3.54	1038	138
Leo Huberman	4.14	1349	89
David Day	4.04	17853	782
Frederic lenoir	3.89	7269	733
Norbert Elias	4.08	2402	134
Jean-Louis Fournier	3.8	5463	1140
Jonas Karlsson	3.55	9590	1607
Hasan Ali Toptas	4.17	15837	1646
Sybille Bedford	3.86	2300	356
Alphonse Daudet	3.66	10509	585
Sasha Sokolov	4.11	1487	150
Valerie Solanas	3.61	5097	605
Daniel Kehlmann	3.71	33458	3170
Elinor Glyn	3.3	700	131
John Edward Williams	3.84	85782	6520
Ivan Goncharov	4.08	31572	1181
Lian Hearn	4.03	108205	5192
Anna Katherina Hahn	3.49	257	36
Antoine Laurain	3.86	22051	3612
Patricia Duncker	3.73	4159	481
Nicolas Mathieu	3.84	2462	255
Wolfgang Bauer	4.13	971	140
Vladislav Krapivin	4.36	2277	99
Karen Blixen	3.99	57768	3450
Frank Mc Court	4.06	637214	17337
Alain Robbe Grillet	3.77	9415	786
Katherine Anne Porter	3.93	19474	1692
Maria Barbal	3.71	804	111
Daniel Horch	3.45	119	27
Mario Levrero	3.92	3538	441
