Chin Ning Chu	3.92	2362	233
David R. Hawkins	4.19	19828	1386
William Styron	4.1	127232	5856
Anja Kauranen	3.32	1733	83
Kurt Tucholsky	3.89	3438	290
Richard Ford	3.73	87270	8728
Edna Ferber	3.96	15654	1713
Hermann Ungar	3.86	785	103
Günther Anders	4.08	362	38
Sylvia Brown	3.91	32327	1964
Margaret Mitchell	4.3	1102516	20679
Giorgio Bassani	3.8	11074	894
David Albahari	3.86	2413	287
Vsevolod Garshin	3.97	1304	122
Tomas Ross	3.21	1978	178
Evelyn Waugh	3.93	193247	11561
Jennifer Clement	3.99	13896	1879
Delia Turner	3.92	290	17
Paolo Giordano	3.61	63028	5762
Jen Wang	4.13	110116	16684
Frederik Braun	4.11	18	2
Laura Mclem	5.0	1	0
Colin Higgins	4.09	1874	166
Moebius	3.85	20	14
Zsuzsa Bank	3.86	1883	190
Cruz E Souza	4.16	31	1
John Hersey	3.98	73785	3978
Per Hagman	3.11	760	31
Charlotte Stieglitz	0.0	0	0
Smith, Zadie	3.68	349411	27732
John Betjeman	4.02	17838	629
Elsie Johansen	0.0	0	0
Joseph Roth	3.89	25547	2543
Jesus	4.51	109108	5171
Eugene Ionesco	3.91	46419	1780
Astrid Rosenfeld	3.88	786	72
Spike Milligan	4.01	23204	1131
Kent Nerburn	4.35	10773	1393
Francis Nenik	4.06	34	5
Rollo May	4.13	10044	599
Gabriel Garcia Marquez	3.97	1647436	78409
Franz Mon	3.74	124	1
Ken Kesey	4.19	676336	12885
Arne Dahl	3.72	16989	1320
Arnold Bennett	3.72	16795	1886
Jon Mcgregor	3.7	24427	3423
Ulrich Plenzdorf	3.35	2500	103
Navid Kermani	3.87	1089	116
Kai Meyer	3.88	43488	2983
Blanca Varela	4.35	326	31
Landvik	3.77	67749	6538
John Fowles	3.94	168428	9461
Clarice Lispector	4.07	50193	4623
Mikhail Bakhtin	4.2	6493	253
Crap	4.44	39	14
Diana Athill	3.84	6789	1206
Bjorn Lomborg	3.82	2590	328
Vila-Matas	3.78	15787	1649
A.M. Homes	3.65	51732	6230
David Lodge	3.8	85296	6105
Jim Carroll	3.95	34154	846
Elizabeth Pewsey	3.87	1588	69
Diedrich Diederichsen	3.83	270	16
Conrad Aiken	4.08	2963	368
Aarto Paasilinna	3.54	30564	2656
Philipp Meyer	3.94	40580	4841
John Lansdale	3.95	76824	7017
Martin Mosebach	3.67	647	128
Lolita Pille	3.39	2785	139
Christian Morgenstern	4.02	604	68
Paul Brunton	4.2	2898	198
Andre Marx	3.89	3205	187
Georges Bernanos	3.84	3722	408
Daniel Glattauer	3.78	37836	4023
Emilie Autumn	4.0	4057	591
Munro Alice	3.92	167599	17192
Ahmet Büke	3.83	1107	131
Booth Tarkington	3.78	18460	1744
Kertin Ekman	3.65	6315	556
Edward Thomas	3.89	60407	4868
Werner Pieper	3.59	34	0
Zamyatin	3.92	73646	4750
Alan Spence	3.76	1330	160
Pascal Mercier	3.74	21344	2195
Heller	3.96	748084	19891
Donn Cortez	3.76	1636	130
Gregory Corso	4.07	4709	251
Amy Tan	3.92	938162	26568
Gilbert Simondon	4.03	207	17
Sharon Olds	4.15	21476	1565
Iain Pears	3.83	49430	4611
Sven Lindqvist	4.09	2893	278
Lisa Harrison	4.48	3303	445
Harry Rowohlt	4.0	1615	127
Rubem Fonseca	3.91	10643	682
Per Olov Enqvist	3.7	7736	643
Katja Millay	4.31	78348	9711
Kaminsky	4.13	9702	1318
Sayaka Murata	3.72	70556	9999
Alexander Sinowjew	2.0	2	1
Peter Esterházy	3.84	4052	374
Mihail Sadoveanu	3.26	18956	219
Frank Cho	3.76	28212	2175
Mortimer Adler	3.99	23273	2582
Ana Teresa Pereira	3.78	1246	116
Rabih Alameddine	3.84	21688	3411
Hanna Jameson	3.54	12531	2035
Gerard Reve	3.53	13217	657
Peter Ustinov	3.81	2207	217
Mikhail Lermontov	4.12	59878	1782
Dorothea Tanning	4.07	642	87
Elizabeth Johnson	3.99	14840	1534
Johan Harstad	3.8	18827	3496
David Bowman	3.6	1139	189
Rodrigo Fresán	4.02	4737	528
Maxim Biller	3.52	936	114
Agnon	3.95	1576	183
Richard Powers	4.0	106622	15074
Adam Johnson	4.04	103371	11979
Andrei Kurkov	3.78	15951	1608
Jörg Maurer	3.79	2425	152
Guy Debord	4.02	17489	704
Defne Suman	4.39	751	109
Alfred De Musset	3.68	9660	355
Thomas Stearns Eliot	2.0	1	0
von der Vogelweide	4.01	88	5
Rice	3.89	1965044	54771
Bab Balaban	3.81	1464	230
Cemal Süreya	4.35	10543	456
Eric Hansen	4.01	4725	449
Gustav Kühne	0.0	0	0
Sylvia Plath	4.05	744386	29605
Benedikt Wells	4.13	16365	1538
Fernando Vallejo	3.77	6828	629
Friedrich Nietzsche	4.04	348032	12539
Heinrich Böll	3.87	61925	4142
Lev Tolstoy	4.06	1234186	57214
Xavier Marias	5.0	3	1
Andreas Neumeister	3.67	27	2
Barbara Noack	3.62	196	11
Curtis White	3.46	1697	274
Bruno Latour	3.91	6112	414
Wally Lamb	3.98	745318	35688
Bodil Malmsten	3.88	4565	308
Julio Cortázar	4.22	133030	7990
Peter Hedges	3.99	17249	963
Susan Sontag	3.96	125841	6972
Franck Thilliez	4.01	23781	2765
Kesey	4.19	676336	12885
Lana Lux	3.99	368	45
Rob Never	3.91	2929	295
Anton Pavlovic Cehov	3.95	952	58
Erica Jong	3.54	35110	3399
James Kelman	3.62	7084	688
Katherine Mansfield	3.78	37050	3364
Jeanette Winterson	3.84	226733	19138
Foster Wallace	4.13	299401	28056
Richard Rodriguez	3.46	5574	558
Mark Pryor	3.78	13846	1902
Sapphire	3.8	51435	6769
Markus Werner	3.86	1629	90
Simone Beauvoir	4.06	97110	6485
Merle	3.69	3359	439
Pedro Salinas	4.24	2549	203
Deirdre Madden	3.61	2057	357
Linus Volkmann	3.64	85	3
Kate Walbert	3.34	10204	1702
Erik Beckman	3.29	42	3
Adam Philips	3.69	26007	3359
Birgit Vanderbeke	3.53	2179	247
Carol Oates	3.69	392504	36877
John Bunyan	4.01	119550	4235
Aldo Nove	3.41	1216	129
Eileen Chang	3.83	7783	861
Ludwig Hohl	3.67	94	24
P.G. Wodehouse	4.18	363065	27972
J G Ballard	4.5	2	0
Jim Carrol	3.95	34154	846
Vance Bourjaily	3.86	250	45
Harry Mathews	3.9	5611	512
Harold Norse	4.15	903	60
Jean Philippe Toussaint	3.55	5020	578
Deborah Digges	3.91	478	50
George Santayana	3.91	1075	135
Mike Tidwell	4.12	1297	193
Elie Wiesel	4.32	1026666	33906
Ann Patchett	3.92	950847	88643
Alexander Ahndoril	3.12	68	7
Julian Barnes	3.71	276013	29192
jeff Talarigo	3.73	2468	424
Tonke Dragt	4.13	18687	1069
John Rawls	3.93	14607	398
Michael Horbach	3.07	15	2
Matthias Senkel	3.1	51	12
Zukav	3.99	61510	1484
Fyodor Dostoyevsky	4.18	1530521	70088
George Gurdjieff	4.0	5	0
Inger Christensen	4.28	2866	278
Dave Barry	3.99	248527	18674
Frank Hubert	4.02	1139	92
Louis Macneice	4.13	4053	394
Josef Haslinger	3.79	427	27
Lauren Slater	3.84	10005	961
Elizabeth Gaskell	4.01	281730	16835
Carlo Lucarelli	3.52	10664	963
Katja Lange-Müller	3.4	298	24
Ben Franklin	3.86	80597	3883
Pierre de Ronsard	3.71	669	32
Simone Weil	4.13	7117	746
Martin Heidegger	4.09	47177	1766
Mariana Leky	4.2	5614	603
Ann Beattie	3.63	15753	1798
Luis Cernuda	4.13	1264	88
Maria Gripe	3.9	11898	544
Joerg Fauser	3.91	797	76
Richard Hall	3.91	11	4
Eichendorff	3.44	5149	216
Terézia Mora	3.72	716	95
Charles Willeford	3.96	14915	1487
Gisela Elsner	3.74	86	6
Michael Foucault	4.17	18	2
Jorge Eduardo Eielson	4.12	205	14
Marcus Aurelius	4.22	129812	6692
Liz Murray	4.22	17695	2219
