Bill Bissett	4.24	169	16
Ben Rice	3.84	1717	232
Majgull Axelsson	3.92	9002	654
Junichiro Tanizaki	3.84	46898	4690
Sarah Kane	4.01	14248	1135
Joseph Vogl	3.72	119	5
John Mearsheimer	3.93	5410	523
Guillaume Apollinaire	3.85	11416	612
Natalia Ginzburg	3.99	22410	2233
Cornell Woolrich	3.92	13856	1592
Benedict Wells	4.13	16365	1538
Dantec	3.49	1578	120
Jaume Cabré	4.24	8792	1037
Pier Paolo Pasolini	3.91	9571	655
André Pieyre De Mandiargues	4.08	918	94
Louis Nowra	3.64	3045	410
Juan Ramon Jimenez	3.82	7950	513
Camillieri	3.2	5	0
Strittmatter	4.19	850	116
Mehmet Eroglu	3.88	1329	105
Philip R. Cragi	3.94	9602	842
Emma Newman	3.87	23770	3891
Roddy Doyle	3.79	112683	8746
Richard Wagner	4.03	3845	353
Reinhard Jirgl	3.65	94	13
John Stewart Collis	3.99	212	36
Paulina Flores	3.72	982	164
Delphine de Vigan	3.89	32852	3610
Cordwainer Smith	4.17	25170	1453
Papini	4.17	6090	457
Birhan Keskin	4.18	2468	181
Samanta Schweblin	3.73	32846	5715
Sarah Kuttner	3.73	6406	521
Andy Stanton	4.11	7912	696
Dashiell Hammett	3.94	183412	11080
Nella Larsen	3.87	32191	2601
Casanova	3.88	4971	498
Günter Grass	3.83	58662	3336
Frans G. Bengtsson	4.25	8086	836
Michael Mcgriff	4.01	526	68
Erich Kahler	3.82	45	5
Immanuel Kant	3.92	84420	2292
Vasile Alecsandri	3.59	1533	38
Tom Steppard	4.05	126331	4413
Johnson	3.85	509449	17361
Sutcliffe	3.94	1488	207
Oleg Jurjew	3.65	23	3
Fernando Sabino	3.99	6921	211
Virginie Despentes	3.87	31840	2683
Charles Kingsley	3.46	9899	712
Alexander Von Humboldt	3.85	677	75
James Duncan	4.3	27504	3145
Hans Fallada	4.15	34186	3849
Friedrich Christian Delius	3.4	770	113
Gilbert Keith Chesterton	3.0	2	0
Büchner	3.41	17465	569
Douglas	4.2	2776725	61130
Charles Belfoure	3.97	50237	5331
Musil	4.01	20215	1393
B. Traven	4.09	8304	844
Alberto Manguel	3.88	36611	4040
Tan	3.92	938162	26568
Varlam Shalamov	4.28	7698	498
Bernard Werber	3.89	58486	2169
Emmanuel Carrere	3.92	33660	3301
Gogol	4.04	221304	10226
Tony Spiers	0.0	0	0
Luisa Valenzuela	4.09	3313	278
Clarissa Goenawan	3.48	4916	1012
