Jonathan Lethem	3.85	290572	30315
Hans Lebert	4.07	59	6
Jonathon Coe	4.04	378	61
DM Thomas	4.0	9069	601
James Purdy	3.88	2511	347
Josep Pla	3.89	1587	137
Armonia Somers	3.91	291	47
Richard Nixon	3.9	2796	226
Rabindranath Tagore	4.14	61612	4261
Nick Hornby	3.66	620965	34275
Burgess	3.99	676047	17842
Afonso cruz	3.84	19244	3820
Ernst Jandl	3.96	348	30
Agnes Martin	4.36	176	28
Sergey Dovlatov	4.3	24380	983
Daniel Pellizzari	4.05	2624	179
David Constantine	3.72	2324	347
Albert Cohen	4.04	4745	326
Selim Özdogan	3.87	540	49
Augusto dos Anjos	4.25	878	22
Jerome Salinger	3.86	7	0
Hugo Von Hofmannsthal	3.86	3176	202
Conrad lorenz	0.0	0	0
Paul Auster	3.81	345731	25449
Johannes Mario Simmel	4.03	3757	206
Steven Spielberg	4.08	18656	604
Henning Ottmann	3.6	30	4
Helene Hegemann	2.42	1145	126
Prem Chand	3.0	2	1
Wilfrid Sheed	4.17	3030	206
Henry Vaughan	3.95	1416	137
Padgett Powell	3.71	4971	795
Alexander Solzhenitsen	3.95	2382	139
Roberto Belano	3.98	139560	14866
D H Lawrence	5.0	1	0
Almudena Grandes	3.87	22989	1990
Paul Allen	3.83	3489	229
Louise Doughty	3.66	32102	3504
David Bezmozgis	3.57	6310	840
Alejo Carpentier	3.9	13587	1027
Par Lagerkvist	3.8	13790	1104
Colin Thubron	3.81	12636	1281
Asprin	3.96	185484	3687
Keith Miller	4.14	1749	289
Algusto dos Anjos	4.25	878	22
Isaac Babel	4.08	10489	714
Sophocles	3.78	406006	10604
Miguel Angel Asturias	3.85	8848	706
Thomas Kapielski	4.06	100	3
Peter Bichsel	3.8	931	118
Henscheid	3.35	48	10
James Salter	3.78	32579	4271
Alan Bennett	3.82	77252	9461
Ron Padgett	4.15	3156	295
Irving Yalom	4.23	166324	9582
Doug Wood	4.33	63	10
Rimbaud	4.33	42249	1532
T.H. White	4.0	149087	6765
Luigi Malerba	3.73	2501	177
Emily Bronte	3.87	1379411	38896
Cormac Mccarthey	4.01	1215678	80348
Johann Wolfgang V. Goethe	3.8	222982	9431
Descartes	3.73	72499	2007
Pär Lagerkvist	3.8	13790	1104
Heinrich Hoffman	3.82	4218	349
Colum Mccann	3.93	148291	16865
Malcom Lowry	3.67	6	1
Marten T`hart	4.5	2	0
Joseph Conrad	3.51	585877	23001
Tanja raich	3.57	99	17
Jan Křesadlo	4.09	94	11
Mao tse Dung	3.66	161	16
Daniel Kulla	3.43	53	3
Leon Bloy	4.04	1621	168
J. M. Coetzee	3.76	233970	17264
Julian Baggini	3.74	10998	1114
Charlie Lovett	3.75	27480	4777
Jeanne Benameur	3.67	685	115
walter Moers	4.17	67212	4724
Pramoedya Ananta Toer	4.18	56814	5604
Thor Kunkel	3.61	89	7
José Rodrigues dos Santos	3.8	40032	2397
Eric Lundqvist	3.24	17	2
Alberto Moravia	3.75	26069	2089
Kristian Petri	3.51	91	4
Goethe	3.8	222982	9431
Basil Bunting	4.25	379	33
Wallraff	3.44	128	17
Mark Levi	4.15	22550	2321
