Kurt Vonnegut	George Orwell	Aldous Huxley	Chuck Palahniuk	Charles Bukowski	Jack Kerouac	Franz Kafka	Tom Robbins	Albert Camus	Hermann Hesse	Jerome David Salinger	Ernest Hemingway	Hunter S. Thompson	Gabriel Garcia Marquez	Douglas Adams	Vladimir Nabokov	Oscar Wilde	John Steinbeck	Joseph Heller	Haruki Murakami	Milan Kundera	Ray Bradbury	James Joyce	Philip Kindred Dick	John Irving	Stephen King	Fyodor Dostoyevsky	David Sedaris	Cormac McCarthy	David Foster Wallace																			
John Irving	T. Coraghessan Boyle	Tom Robbins	Nick Hornby	Haruki Murakami	Margaret Atwood	Paul Auster	John Steinbeck	Kurt Vonnegut	Pat Conroy	Barbara Kingsolver	Wally Lamb	Anne Tyler	Richard Russo	Jeffrey Eugenides	Douglas Coupland	Jonathan Franzen	Ian Mcewan	Michael Chabon	Matt Ruff	David Sedaris	Joyce Carol Oates	Christopher Moore	John Updike	Isabel Allende	Jonathan Safran Foer	Charles Dickens	Donna Tartt	Irvine Welsh	Ann Patchett																			
Franz Kafka	Albert Camus	Hermann Hesse	George Orwell	Aldous Huxley	Fyodor Dostoyevsky	Gabriel Garcia Marquez	Milan Kundera	Vladimir Nabokov	Charles Bukowski	Kurt Vonnegut	James Joyce	Oscar Wilde	Umberto Eco	Jack Kerouac	Haruki Murakami	Paul Auster	Henry Miller	Jean-Paul Sartre	Tom Robbins	Samuel Beckett	Thomas Mann	Jorge Luis Borges	Ernest Hemingway	Thomas Pynchon	Chuck Palahniuk	Friedrich Nietzsche	Italo Calvino	Stefan Zweig	David Foster Wallace																			
Jorge Luis Borges	Julio Cortazar	Italo Calvino	T. S. Eliot	Juan Rulfo	Fernando Pessoa	Umberto Eco	Roberto Bolano	Gabriel Garcia Marquez	Thomas Pynchon	Jose Saramago	Ernesto Sabato	David Foster Wallace	Haruki Murakami	Samuel Beckett	Paul Auster	Stanislaw Lem	Franz Kafka	Vladimir Nabokov	Ursula K. LeGuin	Álvaro de Campos	James Joyce	Mario Vargas Llosa	Edgar Allan Poe	Don Delillo	Milan Kundera	Fyodor Dostoyevsky	Anton Chekhov	Salman Rushdie	Roberto Bolaño Ávalos																			
Charles Bukowski	Jack Kerouac	Aldous Huxley	Kurt Vonnegut	Albert Camus	Franz Kafka	Hermann Hesse	George Orwell	Oscar Wilde	Chuck Palahniuk	Henry Miller	Hunter S. Thompson	Vladimir Nabokov	Gabriel Garcia Marquez	Milan Kundera	Ernest Hemingway	William S. Burroughs	James Joyce	Bret Easton Ellis	Irvine Welsh	John Fante	Fyodor Dostoyevsky	Tom Robbins	Jerome David Salinger	John Steinbeck	Umberto Eco	Nick Hornby	Douglas Coupland	Haruki Murakami	Paul Auster																			
Jerome David Salinger	F. Scott Fitzgerald	William Golding	Ernest Hemingway	Jack Kerouac	Kurt Vonnegut	John Steinbeck	Chuck Palahniuk	William Faulkner	Sylvia Plath	Hunter S. Thompson	Stephen Chbosky	Charles Bukowski	Nick Hornby	Bret Easton Ellis	George Orwell	Ayn Rand	Irvine Welsh	David Sedaris	Haruki Murakami	Harper lee	John Green	William S. Burroughs	Douglas Coupland	Sinclair Lewis	Flannery O'Connor	Dave Eggers	Joseph Heller	Oscar Wilde	Cormac McCarthy																			
	Ernest Hemingway	Nick Hornby	Chuck Palahniuk	Bret Easton Ellis	Irvine Welsh	Jerome David Salinger	F. Scott Fitzgerald	Kurt Vonnegut	Douglas Coupland	Tom Wolfe	William Faulkner	Jack Kerouac	Cormac McCarthy	Alex Garland	Charles Bukowski	John Irving	Harper lee	George Orwell	Mark Twain	Fyodor Dostoyevsky	Charles Dickens	Jack London	Haruki Murakami	Oscar Wilde	Ayn Rand	Stephen King	David Sedaris	Gabriel Garcia Marquez	Ray Bradbury																			
	J.R.R. Tolkien	Dean Koontz	Douglas Adams	Terry Pratchett	Isaac Asimov	Neil Gaiman	Joanne K. Rowling	Frank Herbert	Orson Scott Card	Anne Rice	George R. R. Martin	Chuck Palahniuk	Michael Crichton	Dan Brown	John Grisham	William Gibson	Neal Stephenson	Edgar Allan Poe	Tom Clancy	Clive Barker	Howard Phillips Lovecraft	James Patterson	Kurt Vonnegut	Robert Jordan	George Orwell	Ray Bradbury	David Eddings	Thomas Harris	Agatha Christie																			
	John Updike	Saul Bellow	Jonathan Franzen	Ian Mcewan	Martin Amis	Norman Mailer	Don Delillo	Kazuo Ishiguro	Paul Auster	Cormac McCarthy	Julian Barnes	Richard Ford	Thomas Pynchon	Thomas Mann	Thomas Wolfe	Alice Munro	Upton Sinclair	Raymond Carver	Michael Chabon	T. Coraghessan Boyle	Michel Houellebecq	Graham Greene	Richard Russo	Haruki Murakami	Zadie Smith	David Foster Wallace	John Irving	David Lodge	Javier Marias																			
	Octavia E Butler	N. K. Jemisin	Ann Leckie	Tanith Lee	Oguz Atay	China Mieville	Patricia McKillip	Diana Wynne Jones	İhsan Oktay Anar	Margaret Atwood	Nnedi Okorafor	Jose Saramago	Mervyn Peake	Ken Liu	Ihsan Oktay Anar	Hasan Ali Toptas	Guy Gavriel Kay	Norman Spinrad	Jorge Luis Borges	Neil Gaiman	Isaac Asimov	John Brunner	J.R.R. Tolkien	Frank Herbert	Haruki Murakami	Samual R Delany	Nalo Hopkinson	Garth Nix	Dan Simmons																			
Jack Kerouac	Charles Bukowski	Hunter S. Thompson	Oscar Wilde	Kurt Vonnegut	Aldous Huxley	William S. Burroughs	Henry Miller	Jerome David Salinger	Ernest Hemingway	Hermann Hesse	George Orwell	Franz Kafka	Albert Camus	Chuck Palahniuk	Tom Robbins	John Steinbeck	Allen Ginsberg	Irvine Welsh	Tom Wolfe	Douglas Coupland	Bret Easton Ellis	Nick Hornby	F. Scott Fitzgerald	Vladimir Nabokov	Ken Kesey	Gabriel Garcia Marquez	James Joyce	Jack London	Milan Kundera																			
Jerome David Salinger	F. Scott Fitzgerald	William Golding	Ernest Hemingway	Jack Kerouac	Kurt Vonnegut	John Steinbeck	Chuck Palahniuk	William Faulkner	Sylvia Plath	Hunter S. Thompson	Stephen Chbosky	Charles Bukowski	Nick Hornby	Bret Easton Ellis	George Orwell	Ayn Rand	Irvine Welsh	David Sedaris	Haruki Murakami	Harper lee	John Green	William S. Burroughs	Douglas Coupland	Sinclair Lewis	Flannery O'Connor	Dave Eggers	Joseph Heller	Oscar Wilde	Cormac McCarthy																			
