Gabriel Garcia Marquez	Milan Kundera	Franz Kafka	Vladimir Nabokov	Umberto Eco	Albert Camus	Hermann Hesse	James Joyce	Aldous Huxley	George Orwell	Fyodor Dostoyevsky	Charles Bukowski	Kurt Vonnegut	Haruki Murakami	Paul Auster	Jose Saramago	Isabel Allende	Jorge Luis Borges	Salman Rushdie	Italo Calvino	Oscar Wilde	Ernest Hemingway	Jack Kerouac	Mario Vargas Llosa	Julio Cortazar	Tom Robbins	John Steinbeck	Paulo Coelho	Margaret Atwood	John Irving																			
Milan Kundera	Gabriel Garcia Marquez	Umberto Eco	Vladimir Nabokov	Hermann Hesse	Franz Kafka	Albert Camus	James Joyce	Aldous Huxley	Fyodor Dostoyevsky	George Orwell	Paul Auster	Charles Bukowski	Haruki Murakami	Kurt Vonnegut	Italo Calvino	Salman Rushdie	Oscar Wilde	Jose Saramago	Henry Miller	Tom Robbins	Jack Kerouac	Jorge Luis Borges	Ernest Hemingway	Jean-Paul Sartre	Orhan Pamuk	Don Delillo	Michel Houellebecq	John Irving	Jonathan Safran Foer																			
Italo Calvino	Jorge Luis Borges	Jose Saramago	Umberto Eco	T. S. Eliot	Julio Cortazar	Paul Auster	Milan Kundera	Oguz Atay	Gabriel Garcia Marquez	Ahmet Hamdi Tanpinar	James Joyce	Orhan Pamuk	Haruki Murakami	Vladimir Nabokov	Thomas Pynchon	Mann	Georges Perec	Don Delillo	İhsan Oktay Anar	Mikhail Bulgakov	Salman Rushdie	Franz Kafka	Albert Camus	David Foster Wallace	Fyodor Dostoyevsky	Fernando Pessoa	Raymond Queneau	Juan Rulfo	Stanislaw Lem																			
Jose Saramago	Nazým Hikmet	Italo Calvino	Oguz Atay	Orhan Pamuk	Fernando Pessoa	Ahmet Hamdi Tanpinar	İhsan Oktay Anar	Mario Vargas Llosa	Gabriel Garcia Marquez	Jorge Luis Borges	Hasan Ali Toptas	Paul Auster	Julio Cortazar	Roberto Bolano	Ursula K. LeGuin	Haruki Murakami	Javier Marias	Umberto Eco	Jorge Amado	Milan Kundera	Álvaro de Campos	Ihsan Oktay Anar	Bilge Karasu	Fyodor Dostoyevsky	Umut Sarýkaya	Pessoa	Eça de Queiroz	David Mitchell	Isabel Allende																			
Vladimir Nabokov	James Joyce	Milan Kundera	Gabriel Garcia Marquez	Franz Kafka	Albert Camus	Hermann Hesse	Aldous Huxley	Umberto Eco	Fyodor Dostoyevsky	Charles Bukowski	George Orwell	Kurt Vonnegut	Oscar Wilde	Paul Auster	Thomas Pynchon	Italo Calvino	David Foster Wallace	Jack Kerouac	Henry Miller	Haruki Murakami	Don Delillo	Jorge Luis Borges	Virginia Woolf	William Faulkner	Ernest Hemingway	Richard Russo	Marcel Proust	Leo tolstoy	Salman Rushdie																			
George Orwell	Aldous Huxley	Franz Kafka	Kurt Vonnegut	Albert Camus	Hermann Hesse	Charles Bukowski	Gabriel Garcia Marquez	Oscar Wilde	Vladimir Nabokov	Jack Kerouac	Milan Kundera	Fyodor Dostoyevsky	Chuck Palahniuk	James Joyce	Ray Bradbury	Ernest Hemingway	Umberto Eco	Jerome David Salinger	Douglas Adams	George R. R. Martin	John Steinbeck	Tom Robbins	J.R.R. Tolkien	Ayn Rand	Hunter S. Thompson	Stephen King	Haruki Murakami	Joseph Heller	Anthony Burgess																			
	Nicole Krauss	Dave Eggers	Zadie Smith	Jonathan Franzen	Michael Chabon	Mark Haddon	David Sedaris	Yann Martel	Khaled Hosseini	Augusten Burroughs	John Kennedy Toole	Miranda July	Johnathan Safran Foer	Ian Mcewan	Carlos Ruiz Zafon	Junot Diaz	David Foster Wallace	Haruki Murakami	John Irving	Donna Tartt	John Green	Don Delillo	Salman Rushdie	Jonathan Lethem	Nick Hornby	Chuck Palahniuk	Stephen Chbosky	Kurt Vonnegut	Tao Lin																			
	Jeffrey Eugenides	Zadie Smith	Jonathan Safran Foer	Michael Chabon	Philip Roth	Ian Mcewan	Michael Cunningham	David Foster Wallace	Dave Eggers	Nicole Krauss	Eugenides	John Updike	Kazuo Ishiguro	Don Delillo	David Sedaris	John Irving	Chad Harbach	Paul Auster	Jonathan Lethem	Wally Lamb	T. Coraghessan Boyle	Michel Houellebecq	Thomas Pynchon	Richard Russo	Elena Ferrante	Cormac McCarthy	Haruki Murakami	John Kennedy Toole	Hanya Yanagihara																			
	Douglas Coupland	Irvine Welsh	Bret Easton Ellis	John Steinbeck	Alex Garland	Chuck Palahniuk	Tom Wolfe	John Irving	Jerome David Salinger	Jack Kerouac	David Sedaris	Oscar Wilde	Charles Bukowski	Ernest Hemingway	T. Coraghessan Boyle	Benjamin Von Stuckrad-Barre	Dave Eggers	Bill Bryson	Helen Fielding	Paul Auster	Kurt Vonnegut	Haruki Murakami	Jonathan Safran Foer	Tom Robbins	F. Scott Fitzgerald	Douglas Adams	Aldous Huxley	Michael Chabon	Sven Regener																			
George Orwell	Aldous Huxley	Franz Kafka	Kurt Vonnegut	Albert Camus	Hermann Hesse	Charles Bukowski	Gabriel Garcia Marquez	Oscar Wilde	Vladimir Nabokov	Jack Kerouac	Milan Kundera	Fyodor Dostoyevsky	Chuck Palahniuk	James Joyce	Ray Bradbury	Ernest Hemingway	Umberto Eco	Jerome David Salinger	Douglas Adams	George R. R. Martin	John Steinbeck	Tom Robbins	J.R.R. Tolkien	Ayn Rand	Hunter S. Thompson	Stephen King	Haruki Murakami	Joseph Heller	Anthony Burgess																			
Charles Bukowski	Jack Kerouac	Aldous Huxley	Kurt Vonnegut	Albert Camus	Franz Kafka	Hermann Hesse	George Orwell	Oscar Wilde	Chuck Palahniuk	Henry Miller	Hunter S. Thompson	Vladimir Nabokov	Gabriel Garcia Marquez	Milan Kundera	Ernest Hemingway	William S. Burroughs	James Joyce	Bret Easton Ellis	Irvine Welsh	John Fante	Fyodor Dostoyevsky	Tom Robbins	Jerome David Salinger	John Steinbeck	Umberto Eco	Nick Hornby	Douglas Coupland	Haruki Murakami	Paul Auster																			
