Haruki Murakami	Paul Auster	David Mitchell	Gabriel Garcia Marquez	Kurt Vonnegut	Banana Yoshimoto	John Irving	Margaret Atwood	Milan Kundera	David Foster Wallace	Kazuo Ishiguro	Hermann Hesse	Franz Kafka	Italo Calvino	Thomas Pynchon	Fyodor Dostoyevsky	Chuck Palahniuk	Jorge Luis Borges	Cormac McCarthy	Jose Saramago	Tom Robbins	Neil Gaiman	Charles Bukowski	Ernest Hemingway	Vladimir Nabokov	T. Coraghessan Boyle	Salman Rushdie	Jerome David Salinger	Albert Camus	George Orwell																			
Banana Yoshimoto	Rainer Maria Rilke	Yoko Ogawa	Hiromi Kawakami	Haruki Murakami	Gottfried Benn	Natsuo Kirino	Ruth Ozeki	Jurek Becker	Manuel Puig	Ulrich Plenzdorf	Taichi Yamada	Tove Jansson	Paul Auster	Douglas Coupland	Kobo Abe	Yukio Mishima	Sayaka Murata	Dave Sedaris	Inge Von Wangenheim	Philippe Claudel	Armistead Maupin	Arthur Japin	Jenny Mustard	Ryunosuke Akutagawa	Scott Spencer	Natsume Soseki	Abe Kobo	Juan Villoro	Sylvia Plath																			
Margaret Atwood	Barbara Kingsolver	Isabel Allende	Joyce Carol Oates	Anne Tyler	John Irving	Ian Mcewan	Haruki Murakami	David Mitchell	Alice Munro	Carol Shields	Kate Atkinson	Kazuo Ishiguro	Ursula K. LeGuin	Donna Tartt	Ann Patchett	Sylvia Plath	Jeffrey Eugenides	Jane Austen	Virginia Woolf	Kurt Vonnegut	Neil Gaiman	George Orwell	Toni Morrison	Tom Robbins	Zadie Smith	Gabriel Garcia Marquez	Wally Lamb	Sarah Waters	Jeanette Winterson																			
Hermann Hesse	Franz Kafka	Albert Camus	Aldous Huxley	Milan Kundera	George Orwell	Gabriel Garcia Marquez	Fyodor Dostoyevsky	Charles Bukowski	Vladimir Nabokov	Oscar Wilde	James Joyce	Kurt Vonnegut	Jack Kerouac	Umberto Eco	Jean-Paul Sartre	Haruki Murakami	Thomas Mann	Paulo Coelho	Paul Auster	Henry Miller	Max Frisch	Tom Robbins	Friedrich Nietzsche	Ernest Hemingway	Stefan Zweig	Goethe	John Steinbeck	Nikolai Gogol	Jerome David Salinger																			
Chuck Palahniuk	Bret Easton Ellis	Irvine Welsh	Kurt Vonnegut	Douglas Coupland	Hunter S. Thompson	Nick Hornby	Charles Bukowski	John Steinbeck	Jerome David Salinger	Alex Garland	Jack Kerouac	Ernest Hemingway	George Orwell	Stephen King	David Sedaris	Tom Wolfe	Tom Robbins	Aldous Huxley	Neil Gaiman	Oscar Wilde	Christopher Moore	Chuck Klosterman	Haruki Murakami	Augusten Burroughs	Douglas Adams	William S. Burroughs	F. Scott Fitzgerald	Cormac McCarthy	Ayn Rand																			
Neil Gaiman	Terry Pratchett	Douglas Adams	J.R.R. Tolkien	Neal Stephenson	William Gibson	Isaac Asimov	Stephen King	Orson Scott Card	Frank Herbert	Joanne K. Rowling	George R. R. Martin	Chuck Palahniuk	Patrick Rothfuss	Kurt Vonnegut	Christopher Moore	Philip Pullman	Haruki Murakami	David Eddings	Jim Butcher	Clive Barker	Margaret Atwood	Alan Moore	Howard Phillips Lovecraft	Anne Rice	China Mieville	Ursula K. LeGuin	Robert Jordan	Ray Bradbury	Jane Austen																			
Salman Rushdie	Arundhati Roy	Vikram Seth	V.S. Naipaul	Rohinton Mistry	Gabriel Garcia Marquez	V. S. Naipaul	Don Delillo	Thomas Pynchon	Milan Kundera	Umberto Eco	David Foster Wallace	Michael Ondaatje	Haruki Murakami	Zadie Smith	Paul Auster	Italo Calvino	Jhumpa Lahiri	Mikhail Bulgakov	Toni Morrison	Jonathan Safran Foer	Martin Amis	Jorge Luis Borges	Vladimir Nabokov	Tom Robbins	James Joyce	Peter Carey	Philip Roth	Ian Mcewan	Kushwant Singh																			
	Milan Kundera	Gabriel Garcia Marquez	James Joyce	Vladimir Nabokov	Franz Kafka	Hermann Hesse	Paul Auster	Albert Camus	Fyodor Dostoyevsky	Italo Calvino	Aldous Huxley	Jorge Luis Borges	George Orwell	Charles Bukowski	Salman Rushdie	Jose Saramago	Haruki Murakami	Kurt Vonnegut	Thomas Pynchon	Thomas Mann	Neal Stephenson	John Irving	Orhan Pamuk	Don Delillo	John Fowles	Douglas Adams	Paulo Coelho	Max Frisch	J.R.R. Tolkien																			
	Thomas Pynchon	David Foster Wallace	Philip Roth	Paul Auster	Cormac McCarthy	William Gaddis	James Joyce	Salman Rushdie	Martin Amis	Denis Johnson	Jonathan Franzen	Italo Calvino	Saul Bellow	Vladimir Nabokov	Jonathan Lethem	George Saunders	Haruki Murakami	Jorge Luis Borges	Zadie Smith	Jonathan Safran Foer	Raymond Carver	Roberto Bolano	Dave Eggers	William Faulkner	Donald Barthelme	John Updike	Gabriel Garcia Marquez	David Mitchell	Flannery O'Connor																			
	Nick Hornby	Bret Easton Ellis	Irvine Welsh	Alex Garland	Chuck Palahniuk	Tom Wolfe	John Steinbeck	Jack Kerouac	Charles Bukowski	John Irving	Oscar Wilde	Jerome David Salinger	Tom Robbins	David Sedaris	Chuck Klosterman	Paul Auster	Kurt Vonnegut	Haruki Murakami	Aldous Huxley	William Gibson	Ernest Hemingway	Dave Eggers	Henry Miller	Banana Yoshimoto	Douglas Adams	Neal Stephenson	Jonathan Safran Foer	Hunter S. Thompson	Margaret Atwood																			
