Steve Erickson
Süskind
Patrick Süskind
Karl Ove Knausgård
Ernest K Gann
Wallace Stevens
Greg Rucka
Peter Hessler
Thomas Jefferson
Jaume Cabré
Albert Goldbarth
Frantz Fanon
Algusto dos Anjos
Augusto dos Anjos
Basil Bunting
Alain Fournier
William Faulkner
Elizabeth Gaskell
Gaskell
Jane Kenyon
W. S. Merwin
Pramoedya Ananta Toer
Augusten Burroughs
Eric Nylund
Inio Asano
Feuchtwanger
Lion Feuchtwanger
Liz Murray
Alberto Villoldo
Adrienne Rich
Karl Marlantes
Alice Faye Duncan
Pedro Salinas
Helene Hanff
Paulo Leminski
Jean Améry
Philip Gourevitch
Phillip Gourevitch
Bill Bissett
Heinz Von Foerster
Heinz von Foerster
Gontscharow
Naguib Mahfouz
Joe R Lansdale
Philip Levine
dominique Lapierre
Robert Macfarlane
Joe Simpson
Anne Sexton
Matt Fraction
Weiss & Hickman
walter Moers
Walter Moers
Dave Barry
Bodo Schäfer
Billy Collins
Evan Dara
Singer
Antonio Gamoneda
Joseph Sheridan Le Fanu
Pearl S Buck
Pearl S. Buck
Raïssa Maritain
Koushun Takami
Erico Verissimo
Kent Haruf
Francis Ford Coppola
William Blake
Ajar Emile
Russell Hoban
Jacques Prevert
Comte De Lautreamont
Haffner
